batch,task,case,arm,repeat,stage,candidate,status,candidate_ms,reference_ms,ratio,failure_stage,error,original_status,compiler_commit,original_program,retained_program
"initial","abs","upstream-profile-8","triton","0","generation","1","pass","0.006280000088736415","0.007823999971151352","0.8026585010086947","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/abs/triton/repeat-0/generation-1/candidate.py",""
"initial","abs","upstream-profile-8","intent","0","generation","1","pass","0.005927999969571829","0.00620800000615418","0.9548969013684313","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/abs/intent/repeat-0/generation-1/candidate.py",""
"initial","abs","upstream-profile-8","triton","0","optimization","1","pass","0.006128000095486641","0.007823999971151352","0.7832310989368353","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/abs/triton/repeat-0/optimization-1/candidate.py",""
"initial","abs","upstream-profile-8","triton","0","optimization","2","pass","0.007775999838486314","0.007823999971151352","0.9938650136960603","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/abs/triton/repeat-0/optimization-2/candidate.py",""
"initial","abs","upstream-profile-8","intent","0","optimization","1","pass","0.007808000082150102","0.007823999971151352","0.9979550244043655","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/abs/intent/repeat-0/optimization-1/candidate.py",""
"initial","abs","upstream-profile-8","triton","0","optimization","3","pass","0.007823999971151352","0.007807999849319458","1.0020491959708848","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/abs/triton/repeat-0/optimization-3/candidate.py",""
"initial","abs","upstream-profile-8","triton","0","optimization","4","pass","0.005824000108987093","0.007408000295981765","0.7861770891324259","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/abs/triton/repeat-0/optimization-4/candidate.py",""
"initial","abs","upstream-profile-8","intent","0","optimization","2","pass","0.0059200001414865255","0.00712800002656877","0.8305275139478718","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/abs/intent/repeat-0/optimization-2/candidate.py",""
"initial","abs","upstream-profile-8","intent","0","optimization","3","pass","0.007808000082150102","0.007823999971151352","0.9979550244043655","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/abs/intent/repeat-0/optimization-3/candidate.py",""
"initial","abs","upstream-profile-8","triton","0","optimization","5","pass","0.006272000027820468","0.007840000092983246","0.7999999940604429","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/abs/triton/repeat-0/optimization-5/candidate.py",""
"initial","abs","upstream-profile-8","intent","0","optimization","4","pass","0.007823999971151352","0.007823999971151352","1","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/abs/intent/repeat-0/optimization-4/candidate.py",""
"initial","abs","upstream-profile-8","intent","0","optimization","5","pass","0.007808000082150102","0.007823999971151352","0.9979550244043655","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/abs/intent/repeat-0/optimization-5/candidate.py",""
"initial","softmax","upstream-profile-6","triton","0","generation","1","pass","0.007823999971151352","0.007840000092983246","0.9979591681578915","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/softmax/triton/repeat-0/generation-1/candidate.py",""
"initial","matmul","upstream-profile-6","triton","0","generation","1","pass","0.03035199921578169","0.017343999817967415","1.7499999731514477","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/matmul/triton/repeat-0/generation-1/candidate.py",""
"initial","matmul","upstream-profile-6","intent","0","generation","1","compilation_failure","","","","provider_program_verification","Intent Triton compiler failed with exit code 6:
loc(""<stdin>"":20:11): error: 'intent_gpu.gather' op requires safe-index legalization before Triton tl.gather: source='!intent_gpu.fragment<f32, [#intent_gpu.expr<1, 0, ""FRAGMENT_D1"", []>, #intent_gpu.expr<1, 0, ""FRAGMENT_D3"", []>], [#intent_gpu.axis_map<1, 0, 1, 0, false>, #intent_gpu.axis_map<2, 1, 3, 1, false>], 1, 1>', coordinate='!intent_gpu.fragment<index, [#intent_gpu.expr<1, 0, ""FRAGMENT_D1"", []>], [#intent_gpu.axis_map<5, 0, 1, 0, false>], 1, 1>', valid='!intent_gpu.fragment<i1, [#intent_gpu.expr<1, 0, ""FRAGMENT_D1"", []>, #intent_gpu.expr<1, 0, ""FRAGMENT_D3"", []>], [#intent_gpu.axis_map<5, 0, 1, 0, false>, #intent_gpu.axis_map<8, 0, 3, 1, false>], 1, 1>', fill='!intent_gpu.fragment<f32, [#intent_gpu.expr<1, 0, ""FRAGMENT_D1"", []>, #intent_gpu.expr<1, 0, ""FRAGMENT_D3"", []>], [#intent_gpu.axis_map<5, 0, 1, 0, false>, #intent_gpu.axis_map<8, 0, 3, 1, false>], 1, 1>', result='!intent_gpu.fragment<f32, [#intent_gpu.expr<1, 0, ""FRAGMENT_D1"", []>, #intent_gpu.expr<1, 0, ""FRAGMENT_D3"", []>], [#intent_gpu.axis_map<5, 0, 1, 0, false>, #intent_gpu.axis_map<8, 0, 3, 1, false>], 1, 1>'
","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/matmul/intent/repeat-0/generation-1/candidate.py",""
"initial","softmax","upstream-profile-6","intent","0","generation","1","pass","0.0243520000949502","0.007984000025317073","3.0501002026215667","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/softmax/intent/repeat-0/generation-1/candidate.py",""
"initial","softmax","upstream-profile-6","triton","0","optimization","1","pass","0.007703999988734722","0.007967999903485179","0.9668674801771792","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/softmax/triton/repeat-0/optimization-1/candidate.py",""
"initial","matmul","upstream-profile-6","intent","0","generation","2","numerical_failure","","","","comparison","generated/source floating result 0 differs: max_abs=289.25, atol=0.01, rtol=0.01","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/matmul/intent/repeat-0/generation-2/candidate.py",""
"initial","matmul","upstream-profile-6","triton","0","optimization","1","pass","0.018192000687122345","0.01744799967855215","1.0426410489613176","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/matmul/triton/repeat-0/optimization-1/candidate.py",""
"initial","softmax","upstream-profile-6","intent","0","optimization","1","pass","0.007840000092983246","0.007840000092983246","1","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/softmax/intent/repeat-0/optimization-1/candidate.py",""
"initial","matmul","upstream-profile-6","intent","0","generation","3","compilation_failure","","","","provider_program_verification","Intent Triton compiler failed with exit code 6:
loc(""<stdin>"":20:11): error: 'intent_gpu.gather' op requires safe-index legalization before Triton tl.gather: source='!intent_gpu.fragment<f32, [#intent_gpu.expr<1, 0, ""FRAGMENT_D1"", []>, #intent_gpu.expr<1, 0, ""FRAGMENT_D3"", []>], [#intent_gpu.axis_map<1, 0, 1, 0, false>, #intent_gpu.axis_map<2, 1, 3, 1, false>], 1, 1>', coordinate='!intent_gpu.fragment<index, [#intent_gpu.expr<1, 0, ""FRAGMENT_D1"", []>], [#intent_gpu.axis_map<8, 0, 1, 0, false>], 1, 1>', valid='!intent_gpu.fragment<i1, [#intent_gpu.expr<1, 0, ""FRAGMENT_D1"", []>, #intent_gpu.expr<1, 0, ""FRAGMENT_D3"", []>], [#intent_gpu.axis_map<8, 0, 1, 0, false>, #intent_gpu.axis_map<11, 0, 3, 1, false>], 1, 1>', fill='!intent_gpu.fragment<f32, [#intent_gpu.expr<1, 0, ""FRAGMENT_D1"", []>, #intent_gpu.expr<1, 0, ""FRAGMENT_D3"", []>], [#intent_gpu.axis_map<8, 0, 1, 0, false>, #intent_gpu.axis_map<11, 0, 3, 1, false>], 1, 1>', result='!intent_gpu.fragment<f32, [#intent_gpu.expr<1, 0, ""FRAGMENT_D1"", []>, #intent_gpu.expr<1, 0, ""FRAGMENT_D3"", []>], [#intent_gpu.axis_map<8, 0, 1, 0, false>, #intent_gpu.axis_map<11, 0, 3, 1, false>], 1, 1>'
","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/matmul/intent/repeat-0/generation-3/candidate.py",""
"initial","softmax","upstream-profile-6","triton","0","optimization","2","pass","0.007823999971151352","0.007840000092983246","0.9979591681578915","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/softmax/triton/repeat-0/optimization-2/candidate.py",""
"initial","matmul","upstream-profile-6","triton","0","optimization","2","pass","0.01800800021737814","0.018080000765621662","0.9960176689604777","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/matmul/triton/repeat-0/optimization-2/candidate.py",""
"initial","matmul","upstream-profile-6","intent","0","generation","4","pass","0.018192000687122345","0.01744799967855215","1.0426410489613176","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/matmul/intent/repeat-0/generation-4/candidate.py",""
"initial","matmul","upstream-profile-6","triton","0","optimization","3","pass","0.017568000592291355","0.018080000765621662","0.9716814075415388","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/matmul/triton/repeat-0/optimization-3/candidate.py",""
"initial","softmax","upstream-profile-6","triton","0","optimization","3","pass","0.007823999971151352","0.007840000092983246","0.9979591681578915","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/softmax/triton/repeat-0/optimization-3/candidate.py",""
"initial","softmax","upstream-profile-6","triton","0","optimization","4","pass","0.007920000003650784","0.007967999903485179","0.9939759161124739","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/softmax/triton/repeat-0/optimization-4/candidate.py",""
"initial","matmul","upstream-profile-6","intent","0","optimization","1","pass","0.017536000348627567","0.018144000321626663","0.9664903019057824","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/matmul/intent/repeat-0/optimization-1/candidate.py",""
"initial","matmul","upstream-profile-6","triton","0","optimization","4","pass","0.017967999912798405","0.018080000765621662","0.9938052628274097","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/matmul/triton/repeat-0/optimization-4/candidate.py",""
"initial","matmul","upstream-profile-6","triton","0","optimization","5","pass","0.017920000478625298","0.018080000765621662","0.9911504269789303","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/matmul/triton/repeat-0/optimization-5/candidate.py",""
"initial","softmax","upstream-profile-6","triton","0","optimization","5","pass","0.007840000092983246","0.007840000092983246","1","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/softmax/triton/repeat-0/optimization-5/candidate.py",""
"initial","matmul","upstream-profile-6","intent","0","optimization","2","pass","0.018144000321626663","0.01817600056529045","0.9982394232686757","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/matmul/intent/repeat-0/optimization-2/candidate.py",""
"initial","matmul","upstream-profile-6","intent","0","optimization","3","pass","0.018080000765621662","0.018064000643789768","1.0008857463054506","","","","031ab528943572f56d3a1f1389bd76978eb07ce7","report/agent-tritonbench/programs/matmul/intent/repeat-0/optimization-3/candidate.py",""
