task,case,arm,repeat,stage,candidate,status,candidate_ms,reference_ms,ratio,failure_stage,error,reference_timing_note,reference_correction,original_status,evaluation_repaired,reused_from
rsqrt,upstream-profile-8,triton,0,generation,1,pass,0.005888000130653381,,,,,The unchanged PyTorch reference branches on torch.any(input < 0); CUDA Graph cannot capture its Python data-dependent control. It remains the numerical oracle; candidate operator timing is still CUDA Graph.,,execution_failure,True,
tanh,upstream-profile-8,intent,0,generation,1,pass,0.007823999971151352,0.007823999971151352,1.0,,,,,,,
sqrt,upstream-profile-8,intent,0,generation,1,pass,0.006152000278234482,0.007935999892652035,0.7752016584489418,,,,,,,
tanh,upstream-profile-8,triton,0,generation,1,execution_failure,,,,generated_launch,"at 5:35:
def tanh_kernel(input_ptr, output_ptr, n_elements, BLOCK: tl.constexpr):
    offsets = tl.program_id(0) * BLOCK + tl.arange(0, BLOCK)
    mask = offsets < n_elements
    values = tl.load(input_ptr + offsets, mask=mask)
    tl.store(output_ptr + offsets, tl.tanh(values), mask=mask)
                                   ^
AttributeError(""module 'triton.language' has no attribute 'tanh'"")",,,,,
sqrt,upstream-profile-8,triton,0,generation,1,pass,0.005839999997988343,0.007840000092983246,0.7448979500925146,,,,,,,
rsqrt,upstream-profile-8,intent,0,generation,1,pass,0.006264000199735165,,,,,The unchanged PyTorch reference branches on torch.any(input < 0); CUDA Graph cannot capture its Python data-dependent control. It remains the numerical oracle; candidate operator timing is still CUDA Graph.,,execution_failure,True,
tanh,upstream-profile-8,triton,0,generation,2,pass,0.006704000057652593,0.007823999971151352,0.8568507262744859,,,,,,,
rsqrt,upstream-profile-8,triton,0,generation,2,execution_failure,,,,source_benchmark,"CUDA error: operation failed due to a previous error during capture
Search for `cudaErrorStreamCaptureInvalidated' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",,,,,
fused_index_select_eq,upstream-profile-1,triton,0,generation,1,pass,0.0038720000302419066,0.005888000130653381,0.6576086861961801,,,,,,,
fused_index_select_eq,upstream-profile-1,intent,0,generation,1,execution_failure,,,,generated_launch,"at 70:4:
    v57 = (v51 < v56)
    v58 = v57[:, None]
    v59 = D2
    v60 = tl.full((FRAGMENT_D2,), v59, tl.int64)
    v61 = (v53 < v60)
    v62 = v61[None, :]
    v63 = (v58 & v62)
    v64 = v52[:, None]
    v65 = (v63 & v64)
    v66 = v54[None, :]
    v67 = (v65 & v66)
    tl.store(tl.make_block_ptr(base=(output + tl.cast(v14, tl.int64) * S3_0 + tl.cast(v24, tl.int64) * S3_1), shape=((D1 - tl.cast(v14, tl.int64)), (D2 - tl.cast(v24, tl.int64))), strides=(S3_0, S3_1), offsets=(0, 0), block_shape=(FRAGMENT_D1, FRAGMENT_D2), order=(1, 0)), tl.cast(v50, tl.int1), boundary_check=(0, 1))
    ^
Block element type(int8) and value element type(int1) mismatch",,,,,
grid_sample,upstream-profile-0,triton,0,generation,1,pass,0.028320000506937504,0.028744000010192394,0.985249112750329,,,,,,,
grid_sample,upstream-profile-0,intent,0,generation,1,execution_failure,,,,generated_launch,'function' object has no attribute 'numel',,,,,
argmax,upstream-profile-8,intent,0,generation,1,compilation_failure,,,,frontend_kir,"/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/argmax/intent/repeat-0/generation-1/candidate.py:8:5: error: rank-zero values use runtime scalar parameters, not tensor views",,,,,
rsqrt,upstream-profile-8,triton,0,generation,3,execution_failure,,,,source_benchmark,"CUDA error: operation failed due to a previous error during capture
Search for `cudaErrorStreamCaptureInvalidated' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",,,,,
rsqrt,upstream-profile-8,intent,0,generation,2,execution_failure,,,,source_benchmark,"CUDA error: operation failed due to a previous error during capture
Search for `cudaErrorStreamCaptureInvalidated' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",,,,,
grid_sample,upstream-profile-0,intent,0,generation,2,pass,0.35817599296569824,0.028416000306606293,12.604729346178523,,,,,,,
fused_index_select_eq,upstream-profile-1,intent,0,generation,2,pass,0.003759999992325902,0.0057760002091526985,0.6509695041852274,,,,,,,
argmax,upstream-profile-8,triton,0,generation,1,execution_failure,,,,generated_launch,"at 13:17:
    input_ptr,
    partial_values_ptr,
    partial_indices_ptr,
    n_elements,
    BLOCK: tl.constexpr,
):
    pid = tl.program_id(0)
    offsets = pid * BLOCK + tl.arange(0, BLOCK)
    valid = offsets < n_elements

    values = tl.load(input_ptr + offsets, mask=valid, other=-float(""inf""))
    nan_values = tl.isnan(values)
                 ^
AttributeError(""module 'triton.language' has no attribute 'isnan'"")",,,,,
max,upstream-profile-8,triton,0,generation,1,pass,0.009320000186562538,0.012640000320971012,0.73734176818807,,,,,,,
max,upstream-profile-8,intent,0,generation,1,compilation_failure,,,,frontend_kir,"/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/max/intent/repeat-0/generation-1/candidate.py:10:5: error: rank-zero values use runtime scalar parameters, not tensor views",,,,,
argmax,upstream-profile-8,intent,0,generation,2,compilation_failure,,,,frontend_kir,/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/argmax/intent/repeat-0/generation-2/candidate.py:10:17: error: missing intrinsic argument 'identity',,,,,
rsqrt,upstream-profile-8,triton,0,generation,4,agent_program_error,,,,candidate_build,KernelInterface.warmup() missing 1 required keyword-only argument: 'grid',,,,,
relu,upstream-profile-8,triton,0,generation,1,pass,0.0059200001414865255,0.0072480000089854,0.816777060450808,,,,,,,
argmax,upstream-profile-8,triton,0,generation,2,pass,0.007967999903485179,0.010479999706149101,0.7603053556203808,,,,,,,
rsqrt,upstream-profile-8,triton,0,generation,5,execution_failure,,,,source_benchmark,"CUDA error: operation failed due to a previous error during capture
Search for `cudaErrorStreamCaptureInvalidated' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",,,,,
relu,upstream-profile-8,intent,0,generation,1,pass,0.006751999957486987,0.007840000092983246,0.8612244741591251,,,,,,,
mean,upstream-profile-8,intent,0,generation,1,compilation_failure,,,,frontend_kir,"/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/mean/intent/repeat-0/generation-1/candidate.py:8:5: error: rank-zero values use runtime scalar parameters, not tensor views",,,,,
mean,upstream-profile-8,triton,0,generation,1,execution_failure,,,,generated_launch,build.<locals>.wrapper() missing 1 required positional argument: 'keepdim',,,,,
max,upstream-profile-8,intent,0,generation,2,compilation_failure,,,,frontend_kir,/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/max/intent/repeat-0/generation-2/candidate.py:13:14: error: missing intrinsic argument 'identity',,,,,
mean,upstream-profile-8,intent,0,generation,2,execution_failure,,,,generated_launch,build.<locals>.wrapper() missing 1 required positional argument: 'keepdim',,,,,
argmax,upstream-profile-8,intent,0,generation,3,compilation_failure,,,,frontend_kir,"/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/argmax/intent/repeat-0/generation-3/candidate.py:10:5: error: expected scalar/tensor value, got tuple<f16,i32>",,,,,
rsqrt,upstream-profile-8,intent,0,generation,3,pass,66.76637649536133,,,,,The unchanged PyTorch reference branches on torch.any(input < 0); CUDA Graph cannot capture its Python data-dependent control. It remains the numerical oracle; candidate operator timing is still CUDA Graph.,,,,
logsumexp,upstream-profile-8,triton,0,generation,1,pass,0.008848000317811966,0.028672000393271446,0.308593756851662,,,,,,,
mean,upstream-profile-8,triton,0,generation,2,numerical_failure,,,,comparison,"generated/source floating result 0 differs: max_abs=0.2502914071083069, atol=0.0001, rtol=1e-05",,,,,
mean,upstream-profile-8,intent,0,generation,3,execution_failure,,,,generated_launch,no legal full-coverage extent for FULL_D1,,,,,
argmax,upstream-profile-8,intent,0,generation,4,execution_failure,,,,generated_launch,no legal full-coverage extent for FULL_D1,,,,,
logsumexp,upstream-profile-8,intent,0,generation,1,compilation_failure,,,,frontend_kir,"/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/logsumexp/intent/repeat-0/generation-1/candidate.py:8:5: error: rank-zero values use runtime scalar parameters, not tensor views",,,,,
max,upstream-profile-8,intent,0,generation,3,compilation_failure,,,,frontend_kir,/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/max/intent/repeat-0/generation-3/candidate.py:17:18: error: tuple value does not match f32,,,,,
fused_mv_sigmoid_sub,upstream-profile-4,triton,0,generation,1,pass,0.007840000092983246,0.011920000426471233,0.6577181050742781,,,,,,,
mean,upstream-profile-8,triton,0,generation,3,pass,0.007840000092983246,0.010607999749481678,0.7390648829310464,,,,,,,
fused_mv_sigmoid_sub,upstream-profile-4,intent,0,generation,1,pass,0.018080000765621662,0.011920000426471233,1.5167785334529573,,,,,,,
logsumexp,upstream-profile-8,intent,0,generation,2,compilation_failure,,,,kernel_ir_parse,"Intent Triton compiler failed with exit code 2:
loc(""<stdin>"":12:10): error: 'intent.binary' op operand #0 must be integer or floating-point or index or ranked tensor of any type values or typed tuple or typed record or logical index, but got '!intent.view<tensor<?xf32, #intent.tensor_shape<[1]>>, 0, <false, [], """", false>>'
",,,,,
add_gelu,upstream-profile-8,triton,0,generation,1,pass,0.007815999910235405,0.01193600008264184,0.654825725211076,,,,,,,
mean,upstream-profile-8,intent,0,generation,4,execution_failure,,,,generated_launch,launch() missing 1 required positional argument: 'output',,,,,
max,upstream-profile-8,intent,0,generation,4,compilation_failure,,,,frontend_kir,/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/max/intent/repeat-0/generation-4/candidate.py:20:5: error: stored/scattered value dtype does not match destination,,,,,
log1p,upstream-profile-8,intent,0,generation,1,compilation_failure,,,,frontend_kir,/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/log1p/intent/repeat-0/generation-1/candidate.py:11:24: error: compile-time object has no attribute 'log1p',,,,,
add_gelu,upstream-profile-8,intent,0,generation,1,pass,0.006896000122651458,0.012064000125974417,0.5716180413330743,,,,,,,
log1p,upstream-profile-8,triton,0,generation,1,pass,0.006864000111818314,0.007151999976485968,0.9597315624140762,,,,,,,
max,upstream-profile-8,intent,0,generation,5,execution_failure,,,,generated_launch,no legal full-coverage extent for FULL_D1,,,,,
logsumexp,upstream-profile-8,intent,0,generation,3,execution_failure,,,,generated_launch,no legal full-coverage extent for FULL_D1,,,,,
mean,upstream-profile-8,intent,0,generation,5,pass,0.11329600214958191,0.010607999749481678,10.680241782162346,,,,,,,
softplus_linear,upstream-profile-6,triton,0,generation,1,pass,0.007840000092983246,0.018080000765621662,0.43362830536438174,,,,,,,
log1p,upstream-profile-8,intent,0,generation,2,pass,0.006864000111818314,0.006880000000819564,0.9976744347384674,,,,,,,
mul_relu,upstream-profile-8,triton,0,generation,1,pass,0.009999999776482582,0.012008000165224075,0.8327781178287464,,,,,,,
mul_relu,upstream-profile-8,intent,0,generation,1,pass,0.0098879998549819,0.01193600008264184,0.8284182126776051,,,,,,,
softplus_linear,upstream-profile-6,intent,0,generation,1,compilation_failure,,,,frontend_kir,/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/softplus_linear/intent/repeat-0/generation-1/candidate.py:10:13: error: only Intent intrinsics and @intent.fn values are callable in DSL code,,,,,
logsumexp,upstream-profile-8,intent,0,generation,4,pass,0.008384000044316053,0.028392000123858452,0.29529444941326216,,,,,,,
argmax,upstream-profile-8,intent,0,generation,5,compilation_failure,,,,provider_program_verification,"Intent Triton compiler failed with exit code 6:
loc(""<stdin>"":27:13): error: 'intent_gpu.gather' op requires safe-index legalization before Triton tl.gather: source='!intent_gpu.fragment<f16, [#intent_gpu.expr<0, 16, """", []>], [#intent_gpu.axis_map<1, 0, 1, 0, false>], 1, 1>', coordinate='index', valid='i1', fill='f16', result='f16'
",,,,,
combined_activation,upstream-profile-6,intent,0,generation,1,compilation_failure,,,,kernel_ir_parse,"Intent Triton compiler failed with exit code 2:
loc(""<stdin>"":26:11): error: 'intent.broadcast' op broadcast source must be scalar or ranked tensor
",,,,,
gelu_conv2d,upstream-profile-4,triton,0,generation,1,pass,0.06328000128269196,0.034592000767588615,1.8293246958407476,,,,,,,
tensordot,upstream-profile-4,triton,0,generation,1,pass,0.0060640000738203526,0.005887999897822738,1.0298913347574439,,,,,,,
gelu_conv2d,upstream-profile-4,intent,0,generation,1,numerical_failure,,,,comparison,"generated/source floating result 0 differs: max_abs=0.08428466320037842, atol=0.0001, rtol=1e-05",,,,,
softplus_linear,upstream-profile-6,intent,0,generation,2,compilation_failure,,,,kernel_ir_parse,"Intent Triton compiler failed with exit code 2:
loc(""<stdin>"":15:11): error: 'intent.broadcast' op broadcast source must be scalar or ranked tensor
",,,,,
